Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,GeneScanLabel
org_1_BS,A01,1,organoid,BS,202119820227,R01C01,103409-001-BS-001
org_3_BS,E01,1,organoid,BS,202119820227,R05C01,103409-001-BS-003
org_4_BS,G01,1,organoid,BS,202119820227,R07C01,103409-001-BS-004
org_5_BS,A02,1,organoid,BS,202139520259,R01C01,103409-001-BS-005
pre_65_BS,E03,1,preflow,BS,202123800167,R05C01,103409-001-BS-011R
pre_63_BS,A04,1,preflow,BS,202123800269,R01C01,103409-001-BS-013R
pre_64_BS,C04,1,preflow,BS,202123800269,R03C01,103409-001-BS-014R
pre_66_BS,G04,1,preflow,BS,202123800269,R07C01,103409-001-BS-016R
control_BS,G05,1,control,BS,202128330113,R07C01,103409-001-BS-020
